delta,flipAngle,TR,numSatPulse,pulseDur,numExc,satTrainPerBoost,TR_MT,b1
8000,4,0.12,6,0.001024,8,1,1,11.0560922682927
8000,4,0.12,6,0.001024,10,1,1,10.6530037263356
8000,4,0.12,6,0.001024,12,1,1,10.2340510327847
8000,4,0.12,6,0.00128,8,1,1,9.88886955096491
8000,4,0.12,6,0.00128,10,1,1,9.52833619865802
8000,4,0.12,6,0.00128,12,1,1,9.15361351780336
8000,4,0.12,6,0.002048,8,1,1,7.81783781633391
8000,4,0.12,6,0.002048,10,1,1,7.53281117489748
8000,4,0.12,8,0.000768,8,1,1,11.0560922682927
8000,4,0.12,8,0.000768,10,1,1,10.6530037263356
8000,4,0.12,8,0.000768,12,1,1,10.2340510327847
8000,4,0.12,8,0.001024,8,1,1,9.57485677092617
8000,4,0.12,8,0.001024,10,1,1,9.22577185361694
8000,4,0.12,8,0.001024,12,1,1,8.86294817801788
8000,4,0.12,8,0.00128,8,1,1,8.56401224584602
8000,4,0.12,8,0.00128,10,1,1,8.25178120383669
8000,4,0.12,8,0.002048,8,1,1,6.77044615161183
8000,4,0.12,8,0.002048,10,1,1,6.52360583937253
8000,4,0.12,10,0.000768,8,1,1,9.88886955096491
8000,4,0.12,10,0.000768,10,1,1,9.52833619865802
8000,4,0.12,10,0.000768,12,1,1,9.15361351780336
8000,4,0.12,10,0.001024,8,1,1,8.56401224584602
8000,4,0.12,10,0.001024,10,1,1,8.25178120383669
8000,4,0.12,10,0.00128,8,1,1,7.65988541674094
8000,4,0.12,10,0.00128,10,1,1,7.38061748289355
8000,4,0.12,10,0.002048,8,1,1,6.05567113320236
8000,4,0.12,10,0.002048,10,1,1,5.83489044610062
8000,4,0.12,12,0.000768,8,1,1,9.02726153548244
8000,4,0.12,12,0.000768,10,1,1,8.69814111916337
8000,4,0.12,12,0.001024,8,1,1,7.81783781633391
8000,4,0.12,12,0.001024,10,1,1,7.53281117489748
8000,4,0.12,12,0.00128,8,1,1,6.99248671775645
8000,4,0.12,12,0.00128,10,1,1,6.73755113949633
8000,4,0.12,12,0.002048,8,1,1,5.52804613414634
8000,4,0.12,14,0.000768,8,1,1,8.35762017545327
8000,4,0.12,14,0.000768,10,1,1,8.05291387877956
8000,4,0.12,14,0.001024,8,1,1,7.23791138712389
8000,4,0.12,14,0.001024,10,1,1,6.97402799351138
8000,4,0.12,14,0.00128,8,1,1,6.47378475069152
8000,4,0.12,14,0.00128,10,1,1,6.23776026819116
8000,4,0.12,14,0.002048,8,1,1,5.11797622346263
8000,4,0.12,16,0.000768,8,1,1,7.81783781633391
8000,4,0.12,16,0.000768,10,1,1,7.53281117489748
8000,4,0.12,16,0.001024,8,1,1,6.77044615161183
8000,4,0.12,16,0.001024,10,1,1,6.52360583937253
8000,4,0.12,16,0.00128,8,1,1,6.05567113320236
8000,4,0.12,16,0.00128,10,1,1,5.83489044610062
8000,4,0.12,16,0.002048,8,1,1,4.78742838546309
8000,4,0.12,18,0.000768,8,1,1,7.37072817886178
8000,4,0.12,18,0.000768,10,1,1,7.10200248422375
8000,4,0.12,18,0.001024,8,1,1,6.38323784728412
8000,4,0.12,18,0.001024,10,1,1,6.15051456907796
8000,4,0.12,18,0.00128,8,1,1,5.70934149723068
8000,4,0.12,20,0.000768,8,1,1,6.99248671775645
8000,4,0.12,20,0.000768,10,1,1,6.73755113949633
8000,4,0.12,20,0.001024,8,1,1,6.05567113320236
8000,4,0.12,20,0.001024,10,1,1,5.83489044610062
8000,4,0.12,20,0.00128,8,1,1,5.41635692128946
8000,4,0.14,2,0.000768,10,1,1,14
8000,4,0.14,2,0.000768,12,1,1,14
8000,4,0.14,2,0.000768,14,1,1,14
8000,4,0.14,2,0.001024,10,1,1,14
8000,4,0.14,2,0.001024,12,1,1,14
8000,4,0.14,2,0.001024,14,1,1,14
8000,4,0.14,2,0.00128,10,1,1,14
8000,4,0.14,2,0.00128,12,1,1,14
8000,4,0.14,2,0.00128,14,1,1,14
8000,4,0.14,2,0.002048,10,1,1,14
8000,4,0.14,2,0.002048,12,1,1,14
8000,4,0.14,2,0.002048,14,1,1,13.6189325173007
8000,4,0.14,4,0.000768,10,1,1,14
8000,4,0.14,4,0.000768,12,1,1,14
8000,4,0.14,4,0.000768,14,1,1,14
8000,4,0.14,4,0.001024,10,1,1,14
8000,4,0.14,4,0.001024,12,1,1,14
8000,4,0.14,4,0.001024,14,1,1,13.6189325173007
8000,4,0.14,4,0.00128,10,1,1,13.0146805251864
8000,4,0.14,4,0.00128,12,1,1,12.6048039949318
8000,4,0.14,4,0.00128,14,1,1,12.1811435558667
8000,4,0.14,4,0.002048,10,1,1,10.2890083697563
8000,4,0.14,4,0.002048,12,1,1,9.96497252099351
8000,4,0.14,4,0.002048,14,1,1,9.63003953550533
8000,4,0.14,6,0.000768,10,1,1,13.7186778263418
8000,4,0.14,6,0.000768,12,1,1,13.2866300279913
8000,4,0.14,6,0.000768,14,1,1,12.8400527140071
8000,4,0.14,6,0.001024,10,1,1,11.8807235039463
8000,4,0.14,6,0.001024,12,1,1,11.5065591349257
8000,4,0.14,6,0.001024,14,1,1,11.1198118362615
8000,4,0.14,6,0.00128,10,1,1,10.6264421506813
8000,4,0.14,6,0.00128,12,1,1,10.291779365126
8000,4,0.14,6,0.00128,14,1,1,9.94586206515497
8000,4,0.14,6,0.002048,10,1,1,8.4009401550428
8000,4,0.14,6,0.002048,12,1,1,8.13636599242994
8000,4,0.14,6,0.002048,14,1,1,7.86289435493892
8000,4,0.14,8,0.000768,10,1,1,11.8807235039463
8000,4,0.14,8,0.000768,12,1,1,11.5065591349257
8000,4,0.14,8,0.000768,14,1,1,11.1198118362615
8000,4,0.14,8,0.001024,10,1,1,10.2890083697563
8000,4,0.14,8,0.001024,12,1,1,9.96497252099351
8000,4,0.14,8,0.001024,14,1,1,9.63003953550533
8000,4,0.14,8,0.00128,10,1,1,9.20276885433578
8000,4,0.14,8,0.00128,12,1,1,8.91294238034357
8000,4,0.14,8,0.00128,14,1,1,8.61336921096016
8000,4,0.14,8,0.002048,10,1,1,7.27542758993985
8000,4,0.14,8,0.002048,12,1,1,7.04629964393212
8000,4,0.14,10,0.000768,10,1,1,10.6264421506813
8000,4,0.14,10,0.000768,12,1,1,10.291779365126
8000,4,0.14,10,0.000768,14,1,1,9.94586206515497
8000,4,0.14,10,0.001024,10,1,1,9.20276885433578
8000,4,0.14,10,0.001024,12,1,1,8.91294238034358
8000,4,0.14,10,0.001024,14,1,1,8.61336921096016
8000,4,0.14,10,0.00128,10,1,1,8.23120669580507
8000,4,0.14,10,0.00128,12,1,1,7.97197801679481
8000,4,0.14,10,0.00128,14,1,1,7.70403162840426
8000,4,0.14,10,0.002048,10,1,1,6.50734026259319
8000,4,0.14,10,0.002048,12,1,1,6.30240199746591
8000,4,0.14,12,0.000768,10,1,1,9.7005701199198
8000,4,0.14,12,0.000768,12,1,1,9.39506619190949
8000,4,0.14,12,0.000768,14,1,1,9.07928834486715
8000,4,0.14,12,0.001024,10,1,1,8.4009401550428
8000,4,0.14,12,0.001024,12,1,1,8.13636599242994
8000,4,0.14,12,0.001024,14,1,1,7.86289435493892
8000,4,0.14,12,0.00128,10,1,1,7.51402930463333
8000,4,0.14,12,0.00128,12,1,1,7.27738697955636
8000,4,0.14,12,0.002048,10,1,1,5.94036175197313
8000,4,0.14,12,0.002048,12,1,1,5.75327956746283
8000,4,0.14,14,0.000768,10,1,1,8.98098279627478
8000,4,0.14,14,0.000768,12,1,1,8.69814111916337
8000,4,0.14,14,0.000768,14,1,1,8.40578764130867
8000,4,0.14,14,0.001024,10,1,1,7.77775925252496
8000,4,0.14,14,0.001024,12,1,1,7.53281117489748
8000,4,0.14,14,0.00128,10,1,1,6.95663936050951
8000,4,0.14,14,0.00128,12,1,1,6.73755113949633
8000,4,0.14,14,0.002048,10,1,1,5.49970630989681
8000,4,0.14,16,0.000768,10,1,1,8.4009401550428
8000,4,0.14,16,0.000768,12,1,1,8.13636599242994
8000,4,0.14,16,0.001024,10,1,1,7.27542758993985
8000,4,0.14,16,0.001024,12,1,1,7.04629964393212
8000,4,0.14,16,0.00128,10,1,1,6.50734026259319
8000,4,0.14,16,0.00128,12,1,1,6.30240199746591
8000,4,0.14,16,0.002048,10,1,1,5.14450418487817
8000,4,0.14,18,0.000768,10,1,1,7.92048233596418
8000,4,0.14,18,0.000768,12,1,1,7.67103942328377
8000,4,0.14,18,0.001024,10,1,1,6.85933891317089
8000,4,0.14,18,0.001024,12,1,1,6.64331501399567
8000,4,0.14,18,0.00128,10,1,1,6.13517923622385
8000,4,0.14,18,0.00128,12,1,1,5.94196158689572
8000,4,0.14,18,0.002048,10,1,1,4.8502850599599
8000,4,0.14,20,0.000768,10,1,1,7.51402930463333
8000,4,0.14,20,0.000768,12,1,1,7.27738697955636
8000,4,0.14,20,0.001024,10,1,1,6.50734026259319
8000,4,0.14,20,0.001024,12,1,1,6.30240199746591
8000,4,0.14,20,0.00128,10,1,1,5.82034207195188
8000,4,0.18,2,0.000768,12,1,1,14
8000,4,0.18,2,0.000768,14,1,1,14
8000,4,0.18,2,0.000768,16,1,1,14
8000,4,0.18,2,0.000768,18,1,1,14
8000,4,0.18,2,0.000768,20,1,1,14
8000,4,0.18,2,0.001024,12,1,1,14
8000,4,0.18,2,0.001024,14,1,1,14
8000,4,0.18,2,0.001024,16,1,1,14
8000,4,0.18,2,0.001024,18,1,1,14
8000,4,0.18,2,0.001024,20,1,1,14
8000,4,0.18,2,0.00128,12,1,1,14
8000,4,0.18,2,0.00128,14,1,1,14
8000,4,0.18,2,0.00128,16,1,1,14
8000,4,0.18,2,0.00128,18,1,1,14
8000,4,0.18,2,0.00128,20,1,1,14
8000,4,0.18,2,0.002048,12,1,1,14
8000,4,0.18,2,0.002048,14,1,1,14
8000,4,0.18,2,0.002048,16,1,1,14
8000,4,0.18,2,0.002048,18,1,1,14
8000,4,0.18,2,0.002048,20,1,1,14
8000,4,0.18,4,0.000768,12,1,1,14
8000,4,0.18,4,0.000768,14,1,1,14
8000,4,0.18,4,0.000768,16,1,1,14
8000,4,0.18,4,0.000768,18,1,1,14
8000,4,0.18,4,0.000768,20,1,1,14
8000,4,0.18,4,0.001024,12,1,1,14
8000,4,0.18,4,0.001024,14,1,1,14
8000,4,0.18,4,0.001024,16,1,1,14
8000,4,0.18,4,0.001024,18,1,1,14
